LOCALITY	PLOT	YEAR	REP	BLK	ROW	COL	ID	F1_EARLINESS_1	F1_EARLINESS_2	F1_EARLINESS_3	F1_EARLINESS_4	F1_EARLINESS_5	F1_EARLINESS_L	F1_OVERALL_1	F1_OVERALL_2	F1_OVERALL_3	F1_OVERALL_4	F1_OVERALL_5	F1_OVERALL_L	F1_SPIKE_1	F1_SPIKE_2	F1_SPIKE_3	F1_SPIKE_4	F1_SPIKE_5	F1_SPIKE_L	F1_TILLER_1	F1_TILLER_2	F1_TILLER_3	F1_TILLER_4	F1_TILLER_5	F1_TILLER_L	F2_EARLINESS_1	F2_EARLINESS_2	F2_EARLINESS_3	F2_EARLINESS_4	F2_EARLINESS_5	F2_EARLINESS_L	F2_OVERALL_1	F2_OVERALL_2	F2_OVERALL_3	F2_OVERALL_4	F2_OVERALL_5	F2_OVERALL_L	F2_SPIKE_1	F2_SPIKE_2	F2_SPIKE_3	F2_SPIKE_4	F2_SPIKE_5	F2_SPIKE_L	F2_TILLER_1	F2_TILLER_2	F2_TILLER_3	F2_TILLER_4	F2_TILLER_5	F2_TILLER_L	F3_EARLINESS_1	F3_EARLINESS_2	F3_EARLINESS_3	F3_EARLINESS_4	F3_EARLINESS_5	F3_EARLINESS_L	F3_OVERALL_1	F3_OVERALL_2	F3_OVERALL_3	F3_OVERALL_4	F3_OVERALL_5	F3_OVERALL_L	F3_SPIKE_1	F3_SPIKE_2	F3_SPIKE_3	F3_SPIKE_4	F3_SPIKE_5	F3_SPIKE_L	F3_TILLER_1	F3_TILLER_2	F3_TILLER_3	F3_TILLER_4	F3_TILLER_5	F3_TILLER_L	M1_EARLINESS_1	M1_EARLINESS_2	M1_EARLINESS_3	M1_EARLINESS_4	M1_EARLINESS_5	M1_EARLINESS_L	M1_OVERALL_1	M1_OVERALL_2	M1_OVERALL_3	M1_OVERALL_4	M1_OVERALL_5	M1_OVERALL_L	M1_SPIKE_1	M1_SPIKE_2	M1_SPIKE_3	M1_SPIKE_4	M1_SPIKE_5	M1_SPIKE_L	M1_TILLER_1	M1_TILLER_2	M1_TILLER_3	M1_TILLER_4	M1_TILLER_5	M1_TILLER_L	M2_EARLINESS_1	M2_EARLINESS_2	M2_EARLINESS_3	M2_EARLINESS_4	M2_EARLINESS_5	M2_EARLINESS_L	M2_OVERALL_1	M2_OVERALL_2	M2_OVERALL_3	M2_OVERALL_4	M2_OVERALL_5	M2_OVERALL_L	M2_SPIKE_1	M2_SPIKE_2	M2_SPIKE_3	M2_SPIKE_4	M2_SPIKE_5	M2_SPIKE_L	M2_TILLER_1	M2_TILLER_2	M2_TILLER_3	M2_TILLER_4	M2_TILLER_5	M2_TILLER_L	M3_EARLINESS_1	M3_EARLINESS_2	M3_EARLINESS_3	M3_EARLINESS_4	M3_EARLINESS_5	M3_EARLINESS_L	M3_OVERALL_1	M3_OVERALL_2	M3_OVERALL_3	M3_OVERALL_4	M3_OVERALL_5	M3_OVERALL_L	M3_SPIKE_1	M3_SPIKE_2	M3_SPIKE_3	M3_SPIKE_4	M3_SPIKE_5	M3_SPIKE_L	M3_TILLER_1	M3_TILLER_2	M3_TILLER_3	M3_TILLER_4	M3_TILLER_5	M3_TILLER_L
geregera	372	2012	1	19	19	12	5300	1	1	1	1	2	2	3	3	2	3	3	3	3	3	2	3	3	3	2	2	3	2	3	2	2	2	2	2	2	1	1	2	2	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	2	NA	NA	2	2	NA	3	NA	NA	2	3	NA	3	NA	NA	3	3	NA	2	NA	NA	2	2	NA	2	2	1	1	1	1	2	3	2	2	3	2	3	3	3	2	3	2	2	2	2	2	2	2	1	1	1	1	2	1	2	2	3	3	3	2	2	3	3	2	2	2	2	3	2	2	2	2	1	1	2	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	1	1	2	2	2	2
geregera	178	2012	1	9	9	18	5314	2	2	2	2	2	2	2	3	2	2	2	2	3	3	2	3	3	2	3	4	3	3	3	3	2	2	2	1	1	2	1	1	2	1	2	1	3	3	3	3	3	3	3	3	3	2	3	3	1	NA	NA	1	1	NA	2	NA	NA	2	2	NA	1	NA	NA	2	2	NA	2	NA	NA	2	2	NA	2	1	1	1	1	2	2	2	2	2	2	2	2	2	3	2	2	2	3	2	2	2	2	2	1	1	1	1	1	1	4	4	3	3	3	3	4	4	3	3	3	3	2	4	3	3	3	2	1	2	1	2	2	2	2	2	2	3	3	2	2	2	2	3	3	2	2	2	2	2	2	2
geregera	2	2012	1	1	1	2	5588	4	4	5	2	3	3	4	4	2	3	3	3	3	4	2	3	3	3	3	3	3	3	4	4	3	3	3	3	3	4	3	3	3	2	3	3	3	3	3	3	3	4	4	4	4	3	3	4	3	NA	NA	3	2	NA	2	NA	NA	2	2	NA	2	NA	NA	2	2	NA	3	NA	NA	3	2	NA	2	3	3	3	2	2	2	2	1	2	2	3	2	3	1	1	1	3	2	3	3	2	2	3	5	3	3	3	3	5	5	3	3	3	3	3	4	2	3	3	3	3	4	3	4	4	4	4	3	2	2	3	3	3	3	3	3	4	3	3	2	3	3	2	4	3	3	3	2	2	3	2
geregera	396	2012	1	20	20	16	5611	3	3	2	3	3	3	3	3	3	3	4	3	3	3	3	4	4	3	3	2	3	4	4	4	3	3	3	3	3	4	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	4	3	NA	NA	3	3	NA	4	NA	NA	3	3	NA	4	NA	NA	3	3	NA	3	NA	NA	3	2	NA	3	2	2	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	5	3	4	4	5	4	5	4	3	3	4	3	3	3	3	3	3	3	4	3	3	3	4	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2
geregera	290	2012	1	15	15	10	5634	4	4	4	3	3	4	3	3	2	3	3	3	3	3	2	2	3	3	2	2	3	3	3	2	3	3	3	3	3	4	3	2	2	2	3	3	3	2	2	3	2	3	3	3	3	3	3	3	4	NA	NA	3	3	NA	3	NA	NA	3	3	NA	4	NA	NA	3	3	NA	3	NA	NA	3	2	NA	2	2	3	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	2	2	2	4	2	4	4	4	4	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	4	3	3	3	3	4	3	2	3	3	3	3	2	2	2	3	3	3	3	2	2	2	2	2	2
geregera	283	2012	1	15	15	3	5654	4	5	3	3	4	4	3	2	3	3	3	3	3	3	4	3	3	3	3	3	3	4	4	3	4	4	4	4	3	4	3	3	3	3	4	3	3	3	3	4	4	3	3	3	3	3	3	3	4	NA	NA	4	4	NA	2	NA	NA	3	2	NA	2	NA	NA	3	3	NA	3	NA	NA	3	3	NA	2	3	3	3	2	2	3	2	3	3	3	3	2	3	2	2	2	3	3	3	3	2	3	3	5	5	4	4	5	4	4	4	3	2	3	3	4	3	3	2	2	3	3	4	3	3	4	4	4	4	4	4	4	4	3	3	3	3	3	3	2	3	3	3	3	2	3	3	2	3	2	2
geregera	395	2012	1	20	20	15	5679	2	2	2	2	2	2	2	2	3	3	3	3	2	2	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	4	3	3	3	4	3	3	3	3	3	3	3	NA	NA	4	4	NA	5	NA	NA	3	4	NA	5	NA	NA	4	4	NA	3	NA	NA	3	3	NA	2	2	2	2	2	2	2	3	3	2	3	2	2	3	3	2	3	2	2	2	3	2	2	2	2	2	2	3	3	3	4	5	3	3	4	3	4	4	3	3	4	3	2	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	2	2	2	2	2	2
geregera	155	2012	1	8	8	15	7960	3	3	3	2	2	2	3	4	4	3	3	4	4	5	4	3	4	4	4	5	4	3	3	4	3	3	3	3	3	3	2	2	3	3	3	3	3	3	3	4	3	4	3	3	3	3	3	3	3	NA	NA	4	3	NA	5	NA	NA	3	3	NA	5	NA	NA	4	3	NA	4	NA	NA	3	3	NA	2	2	2	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	2	3	3	2	2	4	4	3	5	5	4	5	4	4	4	4	4	4	3	3	3	4	3	3	3	2	3	3	3	4	3	3	3	4	3	3	3	3	3	3	3	2	2	2	3	2	2
geregera	326	2012	1	17	17	6	8019	4	5	3	3	3	3	3	4	5	3	3	3	3	4	4	3	3	3	3	3	3	3	3	3	4	4	4	4	4	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	NA	NA	4	3	NA	2	NA	NA	3	2	NA	2	NA	NA	3	2	NA	4	NA	NA	2	2	NA	3	3	3	3	3	2	3	3	4	3	4	3	3	3	3	3	4	3	2	3	4	3	3	3	5	5	3	3	4	4	4	4	3	3	4	3	4	4	3	3	3	3	3	3	3	3	3	3	4	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2
geregera	250	2012	1	13	13	10	8151	3	3	3	3	2	3	3	1	3	3	3	3	3	1	3	2	3	3	2	2	2	2	2	1	2	3	3	2	3	3	2	3	3	2	3	2	3	3	3	3	3	3	2	3	2	2	2	2	3	NA	NA	2	2	NA	3	NA	NA	2	2	NA	3	NA	NA	2	3	NA	1	NA	NA	1	1	NA	2	2	3	2	2	1	2	2	2	2	2	2	3	2	3	1	2	2	2	2	2	2	2	2	1	2	3	2	3	2	1	2	2	1	2	1	2	1	2	2	2	2	1	2	1	2	1	2	3	2	2	2	2	2	2	3	3	3	3	2	3	2	3	3	2	3	1	2	2	2	1	1
